"Observed","Total","Completeness","Mean","Median","Min","Max","field_name","form_name","section_header","field_type","field_label","select_choices_or_calculations","field_note","text_validation_type_or_show_slider_number","text_validation_min","text_validation_max","identifier","branching_logic","required_field","custom_alignment","question_number","matrix_group_name","matrix_ranking","field_annotation"
NA,NA,NA,NA,NA,NA,NA,"r_p_men_start_x","questionnaires",NA,"descriptive","<div class=""rich-text-field-label""><p style=""text-align: left;""><span style=""color: #236fa1;"">Eli candelo lilandelayo limalunga namalungelo kunye <span style=""text-decoration: underline;"">namaLungelo aMadoda noBulungisa kuMantombazana.</span></span></p> <p style=""text-align: left;""><span style=""color: #236fa1;"">Sinomdla ukuba uyavumelana okanye awuvumelani nezinkcazelo zilandelayo. Funda ingxelo nganye ngononophelo. Bonisa indlela ovakalelwa ngayo ngengxelo nganye.</span></p></div>",NA,NA,NA,NA,NA,NA,"[ques_language] = '2'",NA,NA,NA,NA,NA,NA
"1236","1236","100",NA,NA,NA,NA,"rights_equity_x_1","questionnaires",NA,"radio","Kubalulekile ukuba oonyana bafunde ngaphezulu kwentombi","1, Ndiyavuma | 2, Andivumi",NA,NA,NA,NA,NA,"[ques_language] = '2'","y",NA,NA,"rights_equity_x",NA,NA
"1236","1236","100",NA,NA,NA,NA,"rights_equity_x_2","questionnaires",NA,"radio","Intombi mazithunyelwe esikoloweni ngaphandle kokuba azidingeki endlini.","1, Ndiyavuma | 2, Andivumi",NA,NA,NA,NA,NA,"[ques_language] = '2'","y",NA,NA,"rights_equity_x",NA,NA
"1236","1236","100",NA,NA,NA,NA,"rights_equity_x_3","questionnaires",NA,"radio","Esona sizathu sibalulekileyo sokuba oonyana bafanele bafunde ngakumbi kuneentombi kukuze bakwazi ukukhathalela abazali babo xa sele bekhulile.","1, Ndiyavuma | 2, Andivumi",NA,NA,NA,NA,NA,"[ques_language] = '2'","y",NA,NA,"rights_equity_x",NA,NA
"1236","1236","100",NA,NA,NA,NA,"rights_equity_x_4","questionnaires",NA,"radio","Ukuba kukho isixa esilinganiselweyo semali yokufundisa, mayisetyenziswe koonyana kuqala.","1, Ndiyavuma | 2, Andivumi",NA,NA,NA,NA,NA,"[ques_language] = '2'","y",NA,NA,"rights_equity_x",NA,NA
"1236","1236","100",NA,NA,NA,NA,"rights_equity_x_5","questionnaires",NA,"radio","Umfazi makahoye kakuhle abantwana bakhe angaxhalabiswa zizinto zabanye abantu.","1, Ndiyavuma | 2, Andivumi",NA,NA,NA,NA,NA,"[ques_language] = '2'","y",NA,NA,"rights_equity_x",NA,NA
"1236","1236","100",NA,NA,NA,NA,"rights_equity_x_6","questionnaires",NA,"radio","Umfazi makayekele ipoliti kumadoda","1, Ndiyavuma | 2, Andivumi",NA,NA,NA,NA,NA,"[ques_language] = '2'","y",NA,NA,"rights_equity_x",NA,NA
"1236","1236","100",NA,NA,NA,NA,"rights_equity_x_7","questionnaires",NA,"radio","Umfazi kumele abenomyeni okanye onyana noba ngamadoda osapho azomkhusela","1, Ndiyavuma | 2, Andivumi",NA,NA,NA,NA,NA,"[ques_language] = '2'","y",NA,NA,"rights_equity_x",NA,NA
"1236","1236","100",NA,NA,NA,NA,"rights_equity_x_8","questionnaires",NA,"radio","Eyona nto inye umfazi angaxhomekeka kuyo ebudaleni bakhe ngonyana.","1, Ndiyavuma | 2, Andivumi",NA,NA,NA,NA,NA,"[ques_language] = '2'","y",NA,NA,"rights_equity_x",NA,NA
"1236","1236","100",NA,NA,NA,NA,"rights_equity_x_9","questionnaires",NA,"radio","Umfazi olungileyo akazibuzi imbono zendoda yakhe,noba akaqinisekanga uba uyavumelana nazo.","1, Ndiyavuma | 2, Andivumi",NA,NA,NA,NA,NA,"[ques_language] = '2'","y",NA,NA,"rights_equity_x",NA,NA
"1236","1236","100",NA,NA,NA,NA,"rights_equity_x_10","questionnaires",NA,"radio","Xa kuza kwimpilo yabantwana, kulungile ukwenza oko kufunwa ngutata wabo","1, Ndiyavuma | 2, Andivumi",NA,NA,NA,NA,NA,"[ques_language] = '2'","y",NA,NA,"rights_equity_x",NA,NA
"1236","1236","100",NA,NA,NA,NA,"rights_equity_x_11","questionnaires",NA,"radio","Intombi zivumelekile usebenza ngaphandle kwekhaya xasele benantwana uba bafuna njalo.","1, Ndiyavuma | 2, Andivumi",NA,NA,NA,NA,NA,"[ques_language] = '2'","y",NA,NA,"rights_equity_x",NA,NA
"1236","1236","100",NA,NA,NA,NA,"rights_equity_x_12","questionnaires",NA,"radio","Iintombi zifanele zibe nethuba elifanayo lokusebenza ngaphandle kwamakhaya njengoonyana.","1, Ndiyavuma | 2, Andivumi",NA,NA,NA,NA,NA,"[ques_language] = '2'","y",NA,NA,"rights_equity_x",NA,NA
"1236","1236","100",NA,NA,NA,NA,"rights_equity_x_13","questionnaires",NA,"radio","Intombi kumele zixelelwe isizathu esibalulekileyo songabinabantwana abaninzi kukuba bakwazi usebenza phandle kwekhaya bafumane imali","1, Ndiyavuma | 2, Andivumi",NA,NA,NA,NA,NA,"[ques_language] = '2'","y",NA,NA,"rights_equity_x",NA,NA
"1236","1236","100",NA,NA,NA,NA,"rights_equity_x_14","questionnaires",NA,"radio","Ndingathanda ukuba intombi yam ikwazi ukusebenza ngaphandle kwekhaya ukuze akwazi ukuzihoya xa kunesidingo","1, Ndiyavuma | 2, Andivumi",NA,NA,NA,NA,NA,"[ques_language] = '2'","y",NA,NA,"rights_equity_x",NA,NA
NA,NA,NA,NA,NA,NA,NA,"gender_norms_start_e","questionnaires",NA,"descriptive","<div class=""rich-text-field-label""><p style=""text-align: left;""><span style=""color: #236fa1;"">The following section is about <span style=""text-decoration: underline;"">gender norms</span>.</span></p> <p style=""text-align: left;""><span style=""color: #236fa1;"">We are interested in how much you agree or disagree with the following statements. Read each statement carefully. Indicate how you feel about each statement.</span></p></div>",NA,NA,NA,NA,NA,NA,"[ques_language] = '1'",NA,NA,NA,NA,NA,NA
"2344","2344","100",NA,NA,NA,NA,"gender_norms_1","questionnaires",NA,"radio","A women should tolerate violence to keep her family together.","0, Do not agree at all|1, Somewhat agree|2, Agree a lot",NA,NA,NA,NA,NA,"[ques_language] = '1'","y",NA,NA,"gender_norms",NA,NA
"2344","2344","100",NA,NA,NA,NA,"gender_norms_2","questionnaires",NA,"radio","If someone insults a man he should defend his reputation with force if he has to.","0, Do not agree at all|1, Somewhat agree|2, Agree a lot",NA,NA,NA,NA,NA,"[ques_language] = '1'","y",NA,NA,"gender_norms",NA,NA
"2344","2344","100",NA,NA,NA,NA,"gender_norms_3","questionnaires",NA,"radio","A man using violence against his wife is a private matter that shouldn't be discussed outside the couple.","0, Do not agree at all|1, Somewhat agree|2, Agree a lot",NA,NA,NA,NA,NA,"[ques_language] = '1'","y",NA,NA,"gender_norms",NA,NA
"2344","2344","100",NA,NA,NA,NA,"gender_norms_4","questionnaires",NA,"radio","It is the man who decides what type of sex to have.","0, Do not agree at all|1, Somewhat agree|2, Agree a lot",NA,NA,NA,NA,NA,"[ques_language] = '1'","y",NA,NA,"gender_norms",NA,NA
"2343","2344","100",NA,NA,NA,NA,"gender_norms_5","questionnaires",NA,"radio","Men are always ready to have sex.","0, Do not agree at all|1, Somewhat agree|2, Agree a lot",NA,NA,NA,NA,NA,"[ques_language] = '1'","y",NA,NA,"gender_norms",NA,NA
"2344","2344","100",NA,NA,NA,NA,"gender_norms_6","questionnaires",NA,"radio","Men need sex more than women do.","0, Do not agree at all|1, Somewhat agree|2, Agree a lot",NA,NA,NA,NA,NA,"[ques_language] = '1'","y",NA,NA,"gender_norms",NA,NA
"2344","2344","100",NA,NA,NA,NA,"gender_norms_7","questionnaires",NA,"radio","You don't talk about sex, you just do it.","0, Do not agree at all|1, Somewhat agree|2, Agree a lot",NA,NA,NA,NA,NA,"[ques_language] = '1'","y",NA,NA,"gender_norms",NA,NA
"2344","2344","100",NA,NA,NA,NA,"gender_norms_8","questionnaires",NA,"radio","A women who has sex before she marries does not deserve respect.","0, Do not agree at all|1, Somewhat agree|2, Agree a lot",NA,NA,NA,NA,NA,"[ques_language] = '1'","y",NA,NA,"gender_norms",NA,NA
"2344","2344","100",NA,NA,NA,NA,"gender_norms_9","questionnaires",NA,"radio","Women who carry condoms on them are easy.","0, Do not agree at all|1, Somewhat agree|2, Agree a lot",NA,NA,NA,NA,NA,"[ques_language] = '1'","y",NA,NA,"gender_norms",NA,NA
"2344","2344","100",NA,NA,NA,NA,"gender_norms_10","questionnaires",NA,"radio","It is a woman's responsibility to avoid getting pregnant.","0, Do not agree at all|1, Somewhat agree|2, Agree a lot",NA,NA,NA,NA,NA,"[ques_language] = '1'","y",NA,NA,"gender_norms",NA,NA
"2344","2344","100",NA,NA,NA,NA,"gender_norms_11","questionnaires",NA,"radio","Only when a woman has a child is she a real woman.","0, Do not agree at all|1, Somewhat agree|2, Agree a lot",NA,NA,NA,NA,NA,"[ques_language] = '1'","y",NA,NA,"gender_norms",NA,NA
"2344","2344","100",NA,NA,NA,NA,"gender_norms_12","questionnaires",NA,"radio","A real man produces a male child.","0, Do not agree at all|1, Somewhat agree|2, Agree a lot",NA,NA,NA,NA,NA,"[ques_language] = '1'","y",NA,NA,"gender_norms",NA,NA
"2344","2344","100",NA,NA,NA,NA,"gender_norms_13","questionnaires",NA,"radio","Changing diapers, giving a bath, and feeding kids are the mother's responsibility.","0, Do not agree at all|1, Somewhat agree|2, Agree a lot",NA,NA,NA,NA,NA,"[ques_language] = '1'","y",NA,NA,"gender_norms",NA,NA
"2344","2344","100",NA,NA,NA,NA,"gender_norms_14","questionnaires",NA,"radio","A woman's role is taking care of her home and family.","0, Do not agree at all|1, Somewhat agree|2, Agree a lot",NA,NA,NA,NA,NA,"[ques_language] = '1'","y",NA,NA,"gender_norms",NA,NA
"2344","2344","100",NA,NA,NA,NA,"gender_norms_15","questionnaires",NA,"radio","The husband should decide to buy the major household items.","0, Do not agree at all|1, Somewhat agree|2, Agree a lot",NA,NA,NA,NA,NA,"[ques_language] = '1'","y",NA,NA,"gender_norms",NA,NA
"2344","2344","100",NA,NA,NA,NA,"gender_norms_16","questionnaires",NA,"radio","A man should have the final word about decisions in his home.","0, Do not agree at all|1, Somewhat agree|2, Agree a lot",NA,NA,NA,NA,NA,"[ques_language] = '1'","y",NA,NA,"gender_norms",NA,NA
"2344","2344","100",NA,NA,NA,NA,"gender_norms_17","questionnaires",NA,"radio","A woman should obey her husband in all things.","0, Do not agree at all|1, Somewhat agree|2, Agree a lot",NA,NA,NA,NA,NA,"[ques_language] = '1'","y",NA,NA,"gender_norms",NA,NA
NA,NA,NA,NA,NA,NA,NA,"gender_norms_start_x","questionnaires",NA,"descriptive","<div class=""rich-text-field-label""><p><span style=""color: #236fa1;"">Eli candelo lilandelayo limalunga <span style=""text-decoration: underline;"">nezithethe zesini</span>.</span><br /><br /><span style=""color: #236fa1;"">Sinomdla wokuba uvumelana kangakanani okanye awuvumelani kangakanani nezi nkcazo zilandelayo. Funda ingxelo nganye ngononophelo. Bonisa indlela ovakalelwa ngayo ngengxelo nganye.</span></p></div>",NA,NA,NA,NA,NA,NA,"[ques_language] = '2'",NA,NA,NA,NA,NA,NA
"1235","1236","99.9",NA,NA,NA,NA,"gender_norms_1x","questionnaires",NA,"radio","Owasetyhini kufuneka anyamezele ubundlobongela ukugcina usapho lwakhe lumanyene.","0, Andingqinelani kwaphela | 1, Ndingqina nje | 2, Ndingqina kakhulu",NA,NA,NA,NA,NA,"[ques_language] = '2'","y",NA,NA,"gender_norms_x",NA,NA
"1235","1236","99.9",NA,NA,NA,NA,"gender_norms_2x","questionnaires",NA,"radio","Ukuba umntu uthuka indoda kumele ikhusele isidima sayo ngamandla uba kuyanyanzeleka.","0, Andingqinelani kwaphela | 1, Ndingqina nje | 2, Ndingqina kakhulu",NA,NA,NA,NA,NA,"[ques_language] = '2'","y",NA,NA,"gender_norms_x",NA,NA
"1236","1236","100",NA,NA,NA,NA,"gender_norms_3x","questionnaires",NA,"radio","Indoda ebetha umfazi wayo lomba lowo yimfihlo engamelwe ithethwe ngaphandle kwisibini eso.","0, Andingqinelani kwaphela | 1, Ndingqina nje | 2, Ndingqina kakhulu",NA,NA,NA,NA,NA,"[ques_language] = '2'","y",NA,NA,"gender_norms_x",NA,NA
"1235","1236","99.9",NA,NA,NA,NA,"gender_norms_4x","questionnaires",NA,"radio","Yindoda egqibayo uba kuya kwabelwana njani isondo.","0, Andingqinelani kwaphela | 1, Ndingqina nje | 2, Ndingqina kakhulu",NA,NA,NA,NA,NA,"[ques_language] = '2'","y",NA,NA,"gender_norms_x",NA,NA
"1236","1236","100",NA,NA,NA,NA,"gender_norms_5x","questionnaires",NA,"radio","Amadoda ahlala ekulungele ukwabelana ngesondo.","0, Andingqinelani kwaphela | 1, Ndingqina nje | 2, Ndingqina kakhulu",NA,NA,NA,NA,NA,"[ques_language] = '2'","y",NA,NA,"gender_norms_x",NA,NA
"1236","1236","100",NA,NA,NA,NA,"gender_norms_6x","questionnaires",NA,"radio","Amadoda aludinga ngaphezu kwamabhinqa isondo.","0, Andingqinelani kwaphela | 1, Ndingqina nje | 2, Ndingqina kakhulu",NA,NA,NA,NA,NA,"[ques_language] = '2'","y",NA,NA,"gender_norms_x",NA,NA
"1236","1236","100",NA,NA,NA,NA,"gender_norms_7x","questionnaires",NA,"radio","Awuthethi ngezesondo, uyalwenza qha.","0, Andingqinelani kwaphela | 1, Ndingqina nje | 2, Ndingqina kakhulu",NA,NA,NA,NA,NA,"[ques_language] = '2'","y",NA,NA,"gender_norms_x",NA,NA
"1236","1236","100",NA,NA,NA,NA,"gender_norms_8x","questionnaires",NA,"radio","Owesifazana owabelanayo ngesondo ngaphandle komtshato akamele kuhlonitshwa.","0, Andingqinelani kwaphela | 1, Ndingqina nje | 2, Ndingqina kakhulu",NA,NA,NA,NA,NA,"[ques_language] = '2'","y",NA,NA,"gender_norms_x",NA,NA
"1236","1236","100",NA,NA,NA,NA,"gender_norms_9x","questionnaires",NA,"radio","Abafazi abaphatha icondom balula.","0, Andingqinelani kwaphela | 1, Ndingqina nje | 2, Ndingqina kakhulu",NA,NA,NA,NA,NA,"[ques_language] = '2'","y",NA,NA,"gender_norms_x",NA,NA
"1236","1236","100",NA,NA,NA,NA,"gender_norms_10x","questionnaires",NA,"radio","Luxanduva lomfazi ukugada ukukhulelwa.","0, Andingqinelani kwaphela | 1, Ndingqina nje | 2, Ndingqina kakhulu",NA,NA,NA,NA,NA,"[ques_language] = '2'","y",NA,NA,"gender_norms_x",NA,NA
"1236","1236","100",NA,NA,NA,NA,"gender_norms_11x","questionnaires",NA,"radio","Kuxa enomntwana kuphela umntu ongumama ukuze abengumama wokwenyani","0, Andingqinelani kwaphela | 1, Ndingqina nje | 2, Ndingqina kakhulu",NA,NA,NA,NA,NA,"[ques_language] = '2'","y",NA,NA,"gender_norms_x",NA,NA
"1236","1236","100",NA,NA,NA,NA,"gender_norms_12x","questionnaires",NA,"radio","Indoda yokwenyani ivelisa umntwana oyinkwenkwe.","0, Andingqinelani kwaphela | 1, Ndingqina nje | 2, Ndingqina kakhulu",NA,NA,NA,NA,NA,"[ques_language] = '2'","y",NA,NA,"gender_norms_x",NA,NA
"1236","1236","100",NA,NA,NA,NA,"gender_norms_13x","questionnaires",NA,"radio","Ukutshintsha inaphukeni, ukuhlamba, nokondla abantwana kuluxanduva lukamama.","0, Andingqinelani kwaphela | 1, Ndingqina nje | 2, Ndingqina kakhulu",NA,NA,NA,NA,NA,"[ques_language] = '2'","y",NA,NA,"gender_norms_x",NA,NA
"1236","1236","100",NA,NA,NA,NA,"gender_norms_14x","questionnaires",NA,"radio","Indima yomfazi kukunyamekela ikhaya nosapho lwakhe.","0, Andingqinelani kwaphela | 1, Ndingqina nje | 2, Ndingqina kakhulu",NA,NA,NA,NA,NA,"[ques_language] = '2'","y",NA,NA,"gender_norms_x",NA,NA
"1236","1236","100",NA,NA,NA,NA,"gender_norms_15x","questionnaires",NA,"radio","Umyeni ufanele agqibe kwelokuba athenge ezona zinto ziphambili zendlu.","0, Andingqinelani kwaphela | 1, Ndingqina nje | 2, Ndingqina kakhulu",NA,NA,NA,NA,NA,"[ques_language] = '2'","y",NA,NA,"gender_norms_x",NA,NA
"1236","1236","100",NA,NA,NA,NA,"gender_norms_16x","questionnaires",NA,"radio","Indoda kufuneka ibe nelizwi lokugqibela malunga nezigqibo zekhaya layo.","0, Andingqinelani kwaphela | 1, Ndingqina nje | 2, Ndingqina kakhulu",NA,NA,NA,NA,NA,"[ques_language] = '2'","y",NA,NA,"gender_norms_x",NA,NA
"1236","1236","100",NA,NA,NA,NA,"gender_norms_17x","questionnaires",NA,"radio","Umfazi ufanele ayithobele indoda yakhe ezintweni zonke.","0, Andingqinelani kwaphela | 1, Ndingqina nje | 2, Ndingqina kakhulu",NA,NA,NA,NA,NA,"[ques_language] = '2'","y",NA,NA,"gender_norms_x",NA,NA
NA,NA,NA,NA,NA,NA,NA,"gender_role_start_e","questionnaires",NA,"descriptive","<div class=""rich-text-field-label""><p style=""text-align: left;""><span style=""color: #236fa1;"">The following section is about <span style=""text-decoration: underline;"">gender roles.</span></span></p> <p style=""text-align: left;""><span style=""color: #236fa1;"">We are interested in how much you agree or disagree with the following statements. Read each statement carefully. Indicate how you feel about each statement.</span></p></div>",NA,NA,NA,NA,NA,NA,"[ques_language] = '1' and [participant_gender] = '2'",NA,NA,NA,NA,NA,NA
"0","0","NaN",NA,NA,NA,NA,"gender_role_1","questionnaires",NA,"radio","I worry about failing and how it affects my doing well as a man","0, Do not agree at all|1, Somewhat agree|2, Agree a lot",NA,NA,NA,NA,NA,"[ques_language] = '1' and [participant_gender] = '2'","y",NA,NA,"gender_role_e",NA,NA
"0","0","NaN",NA,NA,NA,NA,"gender_role_2","questionnaires",NA,"radio","I am often concerned about how others evaluate my ability to provide for my family","0, Do not agree at all|1, Somewhat agree|2, Agree a lot",NA,NA,NA,NA,NA,"[ques_language] = '1' and [participant_gender] = '2'","y",NA,NA,"gender_role_e",NA,NA
"0","0","NaN",NA,NA,NA,NA,"gender_role_3","questionnaires",NA,"radio","I strive to be more successful than others.","0, Do not agree at all|1, Somewhat agree|2, Agree a lot",NA,NA,NA,NA,NA,"[ques_language] = '1' and [participant_gender] = '2'","y",NA,NA,"gender_role_e",NA,NA
"0","0","NaN",NA,NA,NA,NA,"gender_role_4","questionnaires",NA,"radio","I sometimes define my personal value by my ability to make money or find work","0, Do not agree at all|1, Somewhat agree|2, Agree a lot",NA,NA,NA,NA,NA,"[ques_language] = '1' and [participant_gender] = '2'","y",NA,NA,"gender_role_e",NA,NA
"0","0","NaN",NA,NA,NA,NA,"gender_role_5","questionnaires",NA,"radio","Feeling that I am in good physical condition is important to me as a man","0, Do not agree at all|1, Somewhat agree|2, Agree a lot",NA,NA,NA,NA,NA,"[ques_language] = '1' and [participant_gender] = '2'","y",NA,NA,"gender_role_e",NA,NA
"0","0","NaN",NA,NA,NA,NA,"gender_role_6","questionnaires",NA,"radio","Being physically stronger than other men is important to me","0, Do not agree at all|1, Somewhat agree|2, Agree a lot",NA,NA,NA,NA,NA,"[ques_language] = '1' and [participant_gender] = '2'","y",NA,NA,"gender_role_e",NA,NA
"0","0","NaN",NA,NA,NA,NA,"gender_role_7","questionnaires",NA,"radio","I always strive to win in sports competitions.","0, Do not agree at all|1, Somewhat agree|2, Agree a lot",NA,NA,NA,NA,NA,"[ques_language] = '1' and [participant_gender] = '2'","y",NA,NA,"gender_role_e",NA,NA
"0","0","NaN",NA,NA,NA,NA,"gender_role_8","questionnaires",NA,"radio","Having a girlfriend or wife is part of my idea of being a successful man","0, Do not agree at all|1, Somewhat agree|2, Agree a lot",NA,NA,NA,NA,NA,"[ques_language] = '1' and [participant_gender] = '2'","y",NA,NA,"gender_role_e",NA,NA
"0","0","NaN",NA,NA,NA,NA,"gender_role_9","questionnaires",NA,"radio","Making more money than woman is a measure of my value and personal worth","0, Do not agree at all|1, Somewhat agree|2, Agree a lot",NA,NA,NA,NA,NA,"[ques_language] = '1' and [participant_gender] = '2'","y",NA,NA,"gender_role_e",NA,NA
"0","0","NaN",NA,NA,NA,NA,"gender_role_10","questionnaires",NA,"radio","Being outperformed at work by a woman would make me uncomfortable","0, Do not agree at all|1, Somewhat agree|2, Agree a lot",NA,NA,NA,NA,NA,"[ques_language] = '1' and [participant_gender] = '2'","y",NA,NA,"gender_role_e",NA,NA
"0","0","NaN",NA,NA,NA,NA,"gender_role_11","questionnaires",NA,"radio","I would be concerned if my friends knew I lived with a woman and did any housework.","0, Do not agree at all|1, Somewhat agree|2, Agree a lot",NA,NA,NA,NA,NA,"[ques_language] = '1' and [participant_gender] = '2'","y",NA,NA,"gender_role_e",NA,NA
"0","0","NaN",NA,NA,NA,NA,"gender_role_12","questionnaires",NA,"radio","I do not like to let woman take control of the situation","0, Do not agree at all|1, Somewhat agree|2, Agree a lot",NA,NA,NA,NA,NA,"[ques_language] = '1' and [participant_gender] = '2'","y",NA,NA,"gender_role_e",NA,NA
"0","0","NaN",NA,NA,NA,NA,"gender_role_13","questionnaires",NA,"radio","I would be concerned if my friends knew I stayed at home to take care of children while my wife goes to work.","0, Do not agree at all|1, Somewhat agree|2, Agree a lot",NA,NA,NA,NA,NA,"[ques_language] = '1' and [participant_gender] = '2'","y",NA,NA,"gender_role_e",NA,NA
"0","0","NaN",NA,NA,NA,NA,"gender_role_14","questionnaires",NA,"radio","Having a female boss would be difficult for me","0, Do not agree at all|1, Somewhat agree|2, Agree a lot",NA,NA,NA,NA,NA,"[ques_language] = '1' and [participant_gender] = '2'","y",NA,NA,"gender_role_e",NA,NA
"0","0","NaN",NA,NA,NA,NA,"gender_role_15","questionnaires",NA,"radio","I have difficulty telling others I care about them","0, Do not agree at all|1, Somewhat agree|2, Agree a lot",NA,NA,NA,NA,NA,"[ques_language] = '1' and [participant_gender] = '2'","y",NA,NA,"gender_role_e",NA,NA
"0","0","NaN",NA,NA,NA,NA,"gender_role_16","questionnaires",NA,"radio","Talking about my feelings during or after sex is difficult for me","0, Do not agree at all|1, Somewhat agree|2, Agree a lot",NA,NA,NA,NA,NA,"[ques_language] = '1' and [participant_gender] = '2'","y",NA,NA,"gender_role_e",NA,NA
"0","0","NaN",NA,NA,NA,NA,"gender_role_17","questionnaires",NA,"radio","I often have trouble finding words to describe how I am feeling","0, Do not agree at all|1, Somewhat agree|2, Agree a lot",NA,NA,NA,NA,NA,"[ques_language] = '1' and [participant_gender] = '2'","y",NA,NA,"gender_role_e",NA,NA
"0","0","NaN",NA,NA,NA,NA,"gender_role_18","questionnaires",NA,"radio","I do not like to show my emotions to other people","0, Do not agree at all|1, Somewhat agree|2, Agree a lot",NA,NA,NA,NA,NA,"[ques_language] = '1' and [participant_gender] = '2'","y",NA,NA,"gender_role_e",NA,NA
"0","0","NaN",NA,NA,NA,NA,"gender_role_19","questionnaires",NA,"radio","Having someone see me cry would be difficult for me","0, Do not agree at all|1, Somewhat agree|2, Agree a lot",NA,NA,NA,NA,NA,"[ques_language] = '1' and [participant_gender] = '2'","y",NA,NA,"gender_role_e",NA,NA
"0","0","NaN",NA,NA,NA,NA,"gender_role_20","questionnaires",NA,"radio","Being able to perform sexually is important to me as a man","0, Do not agree at all|1, Somewhat agree|2, Agree a lot",NA,NA,NA,NA,NA,"[ques_language] = '1' and [participant_gender] = '2'","y",NA,NA,"gender_role_e",NA,NA
"0","0","NaN",NA,NA,NA,NA,"gender_role_21","questionnaires",NA,"radio","I feel that I always need to be ready for sex with my partner, even if I am tired","0, Do not agree at all|1, Somewhat agree|2, Agree a lot",NA,NA,NA,NA,NA,"[ques_language] = '1' and [participant_gender] = '2'","y",NA,NA,"gender_role_e",NA,NA
"0","0","NaN",NA,NA,NA,NA,"gender_role_22","questionnaires",NA,"radio","I worry about being unable to become sexually aroused when I want","0, Do not agree at all|1, Somewhat agree|2, Agree a lot",NA,NA,NA,NA,NA,"[ques_language] = '1' and [participant_gender] = '2'","y",NA,NA,"gender_role_e",NA,NA
"0","0","NaN",NA,NA,NA,NA,"gender_role_23","questionnaires",NA,"radio","It is important to me to now I can drink as much or more than others","0, Do not agree at all|1, Somewhat agree|2, Agree a lot",NA,NA,NA,NA,NA,"[ques_language] = '1' and [participant_gender] = '2'","y",NA,NA,"gender_role_e",NA,NA
"0","0","NaN",NA,NA,NA,NA,"gender_role_24","questionnaires",NA,"radio","Having sex is part of being a successful man","0, Do not agree at all|1, Somewhat agree|2, Agree a lot",NA,NA,NA,NA,NA,"[ques_language] = '1' and [participant_gender] = '2'","y",NA,NA,"gender_role_e",NA,NA
NA,NA,NA,NA,NA,NA,NA,"gender_role_start_x","questionnaires",NA,"descriptive","<div class=""rich-text-field-label""><p><span style=""color: #236fa1;"">Eli candelo lilandelayo limalunga <span style=""text-decoration: underline;"">nendima zesini.</span></span></p> <p><span style=""color: #236fa1;"">Sinomdla wokuba uvumelana kangakanani okanye awuvumelani kangakanani nezi nkcazo zilandelayo. Funda ingxelo nganye ngononophelo. Bonisa indlela ovakalelwa ngayo ngengxelo nganye.</span></p></div>",NA,NA,NA,NA,NA,NA,"[ques_language] = '2' and [participant_gender] = '2'",NA,NA,NA,NA,NA,NA
"0","0","NaN",NA,NA,NA,NA,"gender_role_1x","questionnaires",NA,"radio","Ndibanexhala lokungaphumeleli nendlela echaphazela ngayo indlela endenza kakuhle njenge ndoda.","0, Andingqinelani kwaphela | 1, Ndingqina nje | 2, Ndingqina kakhulu",NA,NA,NA,NA,NA,"[ques_language] = '2' and [participant_gender] = '2'","y",NA,NA,"gender_role_x",NA,NA
"0","0","NaN",NA,NA,NA,NA,"gender_role_2x","questionnaires",NA,"radio","Ndinamaxesha okuxhalaba ngendlela abantu abandivavanya ngayo amandla am okubonelela usapho lwam.","0, Andingqinelani kwaphela | 1, Ndingqina nje | 2, Ndingqina kakhulu",NA,NA,NA,NA,NA,"[ques_language] = '2' and [participant_gender] = '2'","y",NA,NA,"gender_role_x",NA,NA
"0","0","NaN",NA,NA,NA,NA,"gender_role_3x","questionnaires",NA,"radio","Ndizama ukuphumelela ngakumbi kunanabanye.","0, Andingqinelani kwaphela | 1, Ndingqina nje | 2, Ndingqina kakhulu",NA,NA,NA,NA,NA,"[ques_language] = '2' and [participant_gender] = '2'","y",NA,NA,"gender_role_x",NA,NA
"0","0","NaN",NA,NA,NA,NA,"gender_role_4x","questionnaires",NA,"radio","Ngamanye amaxesha ndichaza ixabiso lam ngokukwazi kwam ukwenza imali okanye ukufumana umsebenzi.","0, Andingqinelani kwaphela | 1, Ndingqina nje | 2, Ndingqina kakhulu",NA,NA,NA,NA,NA,"[ques_language] = '2' and [participant_gender] = '2'","y",NA,NA,"gender_role_x",NA,NA
"0","0","NaN",NA,NA,NA,NA,"gender_role_5x","questionnaires",NA,"radio","Ukuziva ndikwimeko entle yomzimba kubalulekile kum njenge ndoda.","0, Andingqinelani kwaphela | 1, Ndingqina nje | 2, Ndingqina kakhulu",NA,NA,NA,NA,NA,"[ques_language] = '2' and [participant_gender] = '2'","y",NA,NA,"gender_role_x",NA,NA
"0","0","NaN",NA,NA,NA,NA,"gender_role_6x","questionnaires",NA,"radio","Ukomelela ngokwa semzimbeni kunamanye amadoda kubalulekile kum.","0, Andingqinelani kwaphela | 1, Ndingqina nje | 2, Ndingqina kakhulu",NA,NA,NA,NA,NA,"[ques_language] = '2' and [participant_gender] = '2'","y",NA,NA,"gender_role_x",NA,NA
